Inspecting Command,Inspecting Organization,Inspecting Organization Description,Inspected Command,Inspected Organization,Inspected Organization Description,Inspection Type,Inspection Name,Inspection Note,Start Inspection Date,End Inspection Date,Publish Date,Corrective Action Suspense Date,Deficiency Close Date,Deficiency Fix Rate (# of days),Deficiency Tracking Number,Deficiency Description,Functional Area,Impact,Deficiency Status,Item Category,Item Index and Item Name,Deficiency Severity,OPR,OCR,MAJCOM FAM OPR,HHQ,Repeat,Unit Identified,PFW&A,Reference,Countermeasure ECD,Countermeasure OPR,Countermeasure Status,Countermeasure Text,Assigned Root Cause (RC),Primary or Contributing RC?,RC Deficiency Code(s) (AFI 90-201)
AMW,163 RW,144 FW,ANG,Unit 66,Unit 66,UEI,suspendisse potenti cras in,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,7/5/2014,7/10/2015,1/19/2014,2/20/2015,9/20/2015,251,182.33.227.38,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",A4,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis,Accepted,SUB-CATEGORY,1.3.4.1 Root Casue Name,Minor,Carol Duncan,Anne Garrett,,FALSE,FALSE,TRUE,FALSE,379-05-8728,11/28/2014,Jimmy Martinez,Complete,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,sapien varius ut blandit non interdum in ante vestibulum,Primary,LS3 Decision making process ineffective (Risk Management) 
AFSPC,146 AMW,163 RW,ANG,Unit 30,Unit 30,CCIP,auctor gravida sem praesent id,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,8/2/2014,2/12/2015,9/1/2014,3/4/2015,4/13/2015,25,234.148.254.208,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",A4,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,Cancelled,SUB-CATEGORY,1.1.3.1 Root Casue Name,Critcal,Raymond Cook,Alan Watkins,,FALSE,TRUE,FALSE,TRUE,437-72-8887,7/9/2015,Albert Weaver,In Progress,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,quam pharetra magna ac consequat metus,Primary,LS4 Workforce effectiveness limited by existing human relations climate 
AETC,129 RQW,144 FW,ANG,Unit 10,Unit 10,UEI,suspendisse accumsan tortor quis,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare,1/19/2014,5/2/2015,5/30/2015,1/1/2015,6/5/2015,224,171.123.223.72,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",A6,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy,Implemented,SUB-CATEGORY,1.3.3.2 Root Casue Name,Significant,Clarence Ellis,Shawn Ramirez,,TRUE,TRUE,FALSE,FALSE,442-49-1623,3/21/2015,Sara Gordon,Not Started,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac,tempus sit amet sem fusce consequat nulla,Primary,LS5 Physical working conditions not conducive to productivity 
AFSPC,129 RQW,144 FW,ANG,Unit 52,Unit 52,CCIP,vestibulum sit amet,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,10/8/2015,2/1/2014,9/3/2014,7/27/2015,2/13/2015,481,103.25.122.40,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",A10,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,Pending,SUB-CATEGORY,1.2.2.1 Root Casue Name,Significant,Gregory Ryan,Cheryl Adams,,FALSE,FALSE,FALSE,TRUE,866-93-0447,12/22/2014,Karen Bailey,Complete,sapien sapien non mi integer ac neque duis bibendum morbi non quam,cursus id turpis integer aliquet massa id lobortis convallis,Contributing,LS6 Ops Tempo/Workload 
AMW,146 AMW,144 FW,ANG,Unit 72,Unit 72,CCIP,tincidunt in leo maecenas,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,10/17/2015,10/9/2014,8/22/2014,1/11/2015,7/28/2015,374,207.179.143.218,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,SG,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,Accepted,SUB-CATEGORY,1.2.2.4 Root Casue Name,Minor,Patricia King,Janet Fuller,,FALSE,TRUE,FALSE,FALSE,984-36-1969,3/5/2015,Katherine Lopez,Not Started,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,nec nisi vulputate nonummy maecenas,Contributing,LS7 Unit incorrectly prioritized available resources 
AFSPC,146 AMW,144 FW,ANG,Unit 45,Unit 45,UEI,sit amet erat,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu,11/3/2015,8/15/2015,3/12/2015,3/4/2015,2/15/2015,660,161.235.237.246,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,A9,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut,Pending,SUB-CATEGORY,1.2.4.2 Root Casue Name,Minor,Ralph Campbell,Alan Greene,,FALSE,TRUE,TRUE,TRUE,220-66-0360,11/20/2014,Antonio Lane,Not Started,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,convallis duis consequat dui nec nisi volutpat eleifend,Contributing,LS8 Unit failed to adequately program resources 
AMW,144 FW,146 AMW,ANG,Unit 52,Unit 52,CCIP,mattis egestas metus aenean,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam,11/21/2014,12/18/2014,8/17/2014,9/5/2015,3/26/2015,673,22.140.159.239,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",SE,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo,Implemented,SUB-CATEGORY,1.3.1.1 Root Casue Name,Minor,Terry Long,Lillian Owens,,TRUE,TRUE,TRUE,TRUE,457-84-4864,10/5/2015,Emily Watson,In Progress,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,porttitor pede justo eu massa,Contributing,RS1 Program shortfall (Air Force level) 
AMW,144 FW,144 FW,ANG,Unit 58,Unit 58,CCIP,platea dictumst maecenas ut massa,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,5/31/2014,10/4/2015,10/1/2015,3/12/2015,7/26/2015,205,25.114.17.13,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",A1,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis,Proposed,SUB-CATEGORY,1.3.3.2 Root Casue Name,Critcal,Benjamin Reed,Katherine Wallace,,TRUE,FALSE,FALSE,TRUE,648-61-6949,6/28/2015,Amy Martinez,In Progress,in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,amet eros suspendisse accumsan tortor quis turpis sed ante,Primary,RS2 Program shortfall (MAJCOM level) 
AFSPC,163 RW,144 FW,ANG,Unit 50,Unit 50,UEI,morbi ut odio cras mi,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,10/6/2014,2/28/2015,12/22/2013,11/28/2014,1/6/2015,92,0.50.87.39,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",A3,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in,Cancelled,SUB-CATEGORY,1.4.3.4 Root Casue Name,Minor,Christina Hicks,Joe Snyder,,TRUE,TRUE,TRUE,TRUE,376-42-7837,6/10/2015,Linda Fisher,Complete,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,sed vel enim sit amet nunc viverra dapibus,Primary,RS3 Program shortfall (wing/installation level) 
AMW,144 FW,163 RW,ANG,Unit 68,Unit 68,UEI,fermentum justo nec,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor,1/12/2014,8/7/2014,2/23/2015,2/24/2015,9/26/2015,367,61.137.111.223,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",A2,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,Implemented,SUB-CATEGORY,1.4.2.4 Root Casue Name,Critcal,Donna Reid,Jesse Alexander,,TRUE,TRUE,TRUE,TRUE,931-57-9685,4/19/2015,Andrew Vasquez,Not Started,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,placerat ante nulla justo aliquam quis turpis eget elit,Primary,RS4 Parent unit withheld funding 
ACC,163 RW,195 W,ANG,Unit 88,Unit 88,UEI,id nulla ultrices,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur,6/19/2014,12/12/2013,6/27/2015,10/11/2015,6/29/2015,199,102.83.1.114,Fusce consequat. Nulla nisl. Nunc nisl.,A4,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,Accepted,SUB-CATEGORY,1.2.4.2 Root Casue Name,Critcal,Frances Gonzalez,Wayne Chavez,,TRUE,TRUE,TRUE,FALSE,655-29-1657,6/14/2015,Frank Evans,Complete,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus,sapien varius ut blandit non,Primary,RS5 Assigned personnel less than accepted CONUS/OCONUS manning averages 
AETC,195 W,163 RW,ANG,Unit 13,Unit 13,CCIP,sapien urna pretium,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit,9/23/2014,12/13/2014,9/20/2014,7/17/2015,5/26/2015,365,179.93.142.121,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",SE,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla,Implemented,SUB-CATEGORY,1.2.3.4 Root Casue Name,Significant,John Ramirez,Jacqueline Kim,,TRUE,TRUE,FALSE,TRUE,555-84-9240,6/2/2015,Jose Watson,Not Started,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,volutpat sapien arcu sed augue aliquam,Primary,RS6 Insufficient personnel due to TDY/deployment 
AFSPC,129 RQW,163 RW,ANG,Unit 13,Unit 13,CCIP,sit amet erat nulla tempus,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien,3/31/2015,5/24/2015,12/31/2014,8/2/2015,9/12/2015,542,80.165.232.136,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",A4,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,Implemented,SUB-CATEGORY,1.1.3.2 Root Casue Name,Minor,Joseph Gutierrez,Rose Bailey,,TRUE,FALSE,FALSE,TRUE,918-70-8590,10/16/2015,Lillian Austin,In Progress,aliquet maecenas leo odio condimentum id luctus nec molestie sed,commodo placerat praesent blandit nam nulla,Primary,RS7 Insufficient personnel due to medical profile 
AFSPC,129 RQW,163 RW,ANG,Unit 29,Unit 29,UEI,curabitur convallis duis consequat dui,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,4/29/2014,9/22/2014,10/5/2015,6/22/2015,3/13/2015,657,53.193.21.6,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",A8,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada,Closed,SUB-CATEGORY,1.1.4.2 Root Casue Name,Critcal,Nicholas Bowman,Dennis Dunn,,TRUE,FALSE,TRUE,TRUE,399-80-4061,7/29/2015,Peter Hamilton,In Progress,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,felis ut at dolor quis odio consequat varius integer,Primary,RS8 Insufficient personnel due to validated installation augmentee requirements shortfall 
AMW,163 RW,195 W,ANG,Unit 6,Unit 6,CCIP,sed ante vivamus tortor duis,non pretium quis lectus suspendisse potenti in eleifend quam a,12/20/2014,2/20/2015,9/26/2015,2/11/2015,5/19/2015,295,188.193.144.89,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",A6,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,Closed,SUB-CATEGORY,1.3.2.4 Root Casue Name,Minor,Paula Morgan,Ralph Diaz,,TRUE,TRUE,FALSE,FALSE,237-80-4340,7/25/2015,Virginia Gordon,In Progress,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non,nibh in hac habitasse platea dictumst aliquam augue quam,Contributing,RS9 Awaiting security clearance 
AETC,163 RW,146 AMW,ANG,Unit 2,Unit 2,CCIP,ligula pellentesque ultrices phasellus,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,6/20/2014,8/31/2015,12/3/2014,5/21/2015,1/25/2015,122,70.188.164.219,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,A3,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,Pending,SUB-CATEGORY,1.3.4.3 Root Casue Name,Critcal,Thomas Hunter,Jesse Simpson,,FALSE,TRUE,FALSE,FALSE,101-04-2346,11/26/2014,Sandra Garcia,Complete,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,sem sed sagittis nam congue risus,Primary,RS10 Awaiting resupply 
AETC,129 RQW,144 FW,ANG,Unit 15,Unit 15,UEI,in faucibus orci luctus,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,10/2/2014,8/8/2015,3/2/2015,7/30/2015,5/23/2015,480,94.92.157.128,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,A4,in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,Cancelled,SUB-CATEGORY,1.1.4.3 Root Casue Name,Minor,Emily Carter,Sara Cole,,TRUE,TRUE,FALSE,FALSE,609-68-0293,6/21/2015,Nicholas Fernandez,Complete,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,integer aliquet massa id lobortis convallis tortor risus dapibus,Contributing,RS11 Not requisitioned 
AETC,195 W,144 FW,ANG,Unit 16,Unit 16,UEI,vel pede morbi,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,3/1/2014,10/26/2015,10/23/2014,4/8/2015,7/21/2015,573,77.104.210.73,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,A9,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,Implemented,SUB-CATEGORY,1.4.1.1 Root Casue Name,Critcal,Beverly Robinson,Wayne Romero,,FALSE,FALSE,TRUE,TRUE,721-12-8481,6/1/2015,Steven Warren,Not Started,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut,mollis molestie lorem quisque ut erat curabitur gravida,Primary,RS12 Maintenance 
AMW,163 RW,146 AMW,ANG,Unit 96,Unit 96,CCIP,posuere nonummy integer,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam,3/21/2015,5/7/2014,4/28/2015,5/21/2015,3/2/2015,159,163.152.250.230,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,A1,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,Open,SUB-CATEGORY,1.2.4.4 Root Casue Name,Critcal,Andrea Henderson,Christopher Ward,,FALSE,FALSE,TRUE,TRUE,845-32-3782,11/16/2014,Annie Smith,Complete,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis,et ultrices posuere cubilia curae nulla dapibus,Contributing,RS13 Deployed 
ACC,144 FW,129 RQW,ANG,Unit 21,Unit 21,CCIP,congue elementum in hac habitasse,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,4/29/2015,5/13/2014,5/28/2015,9/25/2015,10/29/2015,260,94.185.24.40,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",A7,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,Proposed,SUB-CATEGORY,1.1.3.2 Root Casue Name,Critcal,Sandra Howard,Larry Jackson,,FALSE,FALSE,FALSE,TRUE,908-38-1503,7/8/2015,Denise Nichols,Complete,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor,quam turpis adipiscing lorem vitae mattis nibh ligula,Primary,RS14 Insufficient personnel due to PRP certification/requirements 
ACC,144 FW,146 AMW,ANG,Unit 66,Unit 66,CCIP,pellentesque quisque porta volutpat,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo,4/5/2014,12/11/2014,4/24/2015,6/14/2015,8/28/2015,430,172.172.48.214,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,SE,sit amet turpis elementum ligula vehicula consequat morbi a ipsum,Open,SUB-CATEGORY,1.3.2.2 Root Casue Name,Critcal,Kimberly Cox,Linda Morgan,,FALSE,FALSE,TRUE,TRUE,262-92-0542,3/9/2015,Rebecca Patterson,Not Started,aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,ultrices posuere cubilia curae nulla dapibus dolor,Primary,SE1 Flight Safety Program management inadequate 
